2025-02-04 14:59:41,914 - Epoch: 1.0, Eval Loss: 0.626226544380188, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 14:59:51,841 - Epoch: 2.0, Eval Loss: 0.6258013844490051, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:00:03,045 - Epoch: 3.0, Eval Loss: 0.6287824511528015, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:00:12,984 - Epoch: 4.0, Eval Loss: 0.6268651485443115, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:00:22,942 - Epoch: 5.0, Eval Loss: 0.6243107914924622, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:00:34,079 - Epoch: 6.0, Eval Loss: 0.6242985129356384, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:00:43,971 - Epoch: 7.0, Eval Loss: 0.6250245571136475, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:00:53,917 - Epoch: 8.0, Eval Loss: 0.6272196769714355, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:01:05,065 - Epoch: 9.0, Eval Loss: 0.6259289979934692, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:01:14,990 - Epoch: 10.0, Eval Loss: 0.6250975131988525, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:01:24,940 - Epoch: 11.0, Eval Loss: 0.6246315240859985, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:01:36,130 - Epoch: 12.0, Eval Loss: 0.6263103485107422, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:01:46,061 - Epoch: 13.0, Eval Loss: 0.6264077425003052, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:01:55,986 - Epoch: 14.0, Eval Loss: 0.625680685043335, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:02:07,159 - Epoch: 15.0, Eval Loss: 0.6250101923942566, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:02:17,055 - Epoch: 16.0, Eval Loss: 0.6251060366630554, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:02:26,985 - Epoch: 17.0, Eval Loss: 0.6254639625549316, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:02:38,118 - Epoch: 18.0, Eval Loss: 0.6254532337188721, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:02:48,018 - Epoch: 19.0, Eval Loss: 0.6256210207939148, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:02:57,907 - Epoch: 20.0, Eval Loss: 0.6255992650985718, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:03:09,013 - Epoch: 21.0, Eval Loss: 0.6257351040840149, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:03:18,929 - Epoch: 22.0, Eval Loss: 0.6255948543548584, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:03:30,031 - Epoch: 23.0, Eval Loss: 0.6254096627235413, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:03:39,881 - Epoch: 24.0, Eval Loss: 0.625532329082489, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:03:49,725 - Epoch: 25.0, Eval Loss: 0.6255635619163513, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
