2025-02-04 14:54:46,449 - Epoch: 1.0, Eval Loss: 0.4182908833026886, Exact Match: 0.30666666666666664, Multilabel Accuracy: 0.8546666666666667, F1 Macro: 0.07179487179487179, F1 Micro: None, Hamming Loss: 0.14533333333333334
2025-02-04 14:54:48,612 - Epoch: 2.0, Eval Loss: 0.3708329498767853, Exact Match: 0.30666666666666664, Multilabel Accuracy: 0.8546666666666667, F1 Macro: 0.07179487179487179, F1 Micro: None, Hamming Loss: 0.14533333333333334
2025-02-04 14:54:50,793 - Epoch: 3.0, Eval Loss: 0.3565565049648285, Exact Match: 0.30666666666666664, Multilabel Accuracy: 0.8546666666666667, F1 Macro: 0.07179487179487179, F1 Micro: None, Hamming Loss: 0.14533333333333334
2025-02-04 14:54:52,958 - Epoch: 4.0, Eval Loss: 0.32351362705230713, Exact Match: 0.26666666666666666, Multilabel Accuracy: 0.8786666666666667, F1 Macro: 0.14122340425531915, F1 Micro: None, Hamming Loss: 0.12133333333333333
2025-02-04 14:54:55,123 - Epoch: 5.0, Eval Loss: 0.30767956376075745, Exact Match: 0.29333333333333333, Multilabel Accuracy: 0.8773333333333333, F1 Macro: 0.16021052631578947, F1 Micro: None, Hamming Loss: 0.12266666666666666
2025-02-04 14:54:57,314 - Epoch: 6.0, Eval Loss: 0.28899988532066345, Exact Match: 0.29333333333333333, Multilabel Accuracy: 0.876, F1 Macro: 0.19518398268398268, F1 Micro: None, Hamming Loss: 0.124
2025-02-04 14:54:59,487 - Epoch: 7.0, Eval Loss: 0.2699471116065979, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.904, F1 Macro: 0.31303063861203395, F1 Micro: None, Hamming Loss: 0.096
2025-02-04 14:55:01,661 - Epoch: 8.0, Eval Loss: 0.2648716866970062, Exact Match: 0.36, Multilabel Accuracy: 0.8986666666666666, F1 Macro: 0.309484126984127, F1 Micro: None, Hamming Loss: 0.10133333333333333
2025-02-04 14:55:03,852 - Epoch: 9.0, Eval Loss: 0.27584242820739746, Exact Match: 0.4, Multilabel Accuracy: 0.8866666666666667, F1 Macro: 0.3278072390572391, F1 Micro: None, Hamming Loss: 0.11333333333333333
2025-02-04 14:55:06,026 - Epoch: 10.0, Eval Loss: 0.26708081364631653, Exact Match: 0.37333333333333335, Multilabel Accuracy: 0.9, F1 Macro: 0.343187845401416, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:55:08,207 - Epoch: 11.0, Eval Loss: 0.28299275040626526, Exact Match: 0.4, Multilabel Accuracy: 0.8946666666666667, F1 Macro: 0.3611582321979004, F1 Micro: None, Hamming Loss: 0.10533333333333333
2025-02-04 14:55:10,457 - Epoch: 12.0, Eval Loss: 0.2637210190296173, Exact Match: 0.4666666666666667, Multilabel Accuracy: 0.908, F1 Macro: 0.3915592010328852, F1 Micro: None, Hamming Loss: 0.092
