2025-02-04 15:10:29,068 - Epoch: 1.0, Eval Loss: 0.6402295231819153, Accuracy: 0.9240506329113924, Precision: 0.9249991822850226, Recall: 0.9240506329113924, F1: 0.9239284492449049
2025-02-04 15:10:30,854 - Epoch: 2.0, Eval Loss: 0.25307178497314453, Accuracy: 0.9367088607594937, Precision: 0.9369287913591712, Recall: 0.9367088607594937, F1: 0.9366681917543592
2025-02-04 15:10:32,639 - Epoch: 3.0, Eval Loss: 0.19374877214431763, Accuracy: 0.9493670886075949, Precision: 0.9504301180780427, Recall: 0.9493670886075949, F1: 0.9492856328299365
2025-02-04 15:10:34,442 - Epoch: 4.0, Eval Loss: 0.2039070576429367, Accuracy: 0.9367088607594937, Precision: 0.9390761137596582, Recall: 0.9367088607594937, F1: 0.9365252603555727
2025-02-04 15:10:36,229 - Epoch: 5.0, Eval Loss: 0.22437773644924164, Accuracy: 0.9240506329113924, Precision: 0.9249991822850226, Recall: 0.9240506329113924, F1: 0.9239284492449049
2025-02-04 15:10:38,017 - Epoch: 6.0, Eval Loss: 0.196365624666214, Accuracy: 0.9367088607594937, Precision: 0.9369287913591712, Recall: 0.9367088607594937, F1: 0.9366681917543592
2025-02-04 15:10:39,820 - Epoch: 7.0, Eval Loss: 0.19441045820713043, Accuracy: 0.9493670886075949, Precision: 0.9493670886075949, Recall: 0.9493670886075949, F1: 0.9493670886075949
2025-02-04 15:10:41,610 - Epoch: 8.0, Eval Loss: 0.20282621681690216, Accuracy: 0.9493670886075949, Precision: 0.9493670886075949, Recall: 0.9493670886075949, F1: 0.9493670886075949
2025-02-04 15:10:43,397 - Epoch: 9.0, Eval Loss: 0.23233550786972046, Accuracy: 0.9367088607594937, Precision: 0.9369287913591712, Recall: 0.9367088607594937, F1: 0.9366681917543592
2025-02-04 15:10:45,181 - Epoch: 10.0, Eval Loss: 0.23974652588367462, Accuracy: 0.9367088607594937, Precision: 0.9390761137596582, Recall: 0.9367088607594937, F1: 0.9365252603555727
2025-02-04 15:10:46,968 - Epoch: 11.0, Eval Loss: 0.31938618421554565, Accuracy: 0.9113924050632911, Precision: 0.9177298577408649, Recall: 0.9113924050632911, F1: 0.9108186145828852
2025-02-04 15:10:48,753 - Epoch: 12.0, Eval Loss: 0.27314674854278564, Accuracy: 0.9240506329113924, Precision: 0.9281873086787459, Recall: 0.9240506329113924, F1: 0.9237071926209399
2025-02-04 15:10:50,537 - Epoch: 13.0, Eval Loss: 0.23530957102775574, Accuracy: 0.9493670886075949, Precision: 0.9504301180780427, Recall: 0.9493670886075949, F1: 0.9492856328299365
2025-02-04 15:10:52,323 - Epoch: 14.0, Eval Loss: 0.27982088923454285, Accuracy: 0.9113924050632911, Precision: 0.91353772809469, Recall: 0.9113924050632911, F1: 0.9111353644978017
2025-02-04 15:10:54,108 - Epoch: 15.0, Eval Loss: 0.26523175835609436, Accuracy: 0.9367088607594937, Precision: 0.9369287913591712, Recall: 0.9367088607594937, F1: 0.9366681917543592
2025-02-04 15:10:55,893 - Epoch: 16.0, Eval Loss: 0.2831481099128723, Accuracy: 0.9367088607594937, Precision: 0.9390761137596582, Recall: 0.9367088607594937, F1: 0.9365252603555727
2025-02-04 15:10:57,682 - Epoch: 17.0, Eval Loss: 0.2916390299797058, Accuracy: 0.9240506329113924, Precision: 0.9249991822850226, Recall: 0.9240506329113924, F1: 0.9239284492449049
2025-02-04 15:10:59,470 - Epoch: 18.0, Eval Loss: 0.322211354970932, Accuracy: 0.9240506329113924, Precision: 0.9281873086787459, Recall: 0.9240506329113924, F1: 0.9237071926209399
2025-02-04 15:11:01,259 - Epoch: 19.0, Eval Loss: 0.2653716504573822, Accuracy: 0.9367088607594937, Precision: 0.9369287913591712, Recall: 0.9367088607594937, F1: 0.9366681917543592
2025-02-04 15:11:03,046 - Epoch: 20.0, Eval Loss: 0.3194129467010498, Accuracy: 0.9113924050632911, Precision: 0.91353772809469, Recall: 0.9113924050632911, F1: 0.9111353644978017
2025-02-04 15:11:04,834 - Epoch: 21.0, Eval Loss: 0.30730825662612915, Accuracy: 0.9240506329113924, Precision: 0.9281873086787459, Recall: 0.9240506329113924, F1: 0.9237071926209399
2025-02-04 15:11:06,622 - Epoch: 22.0, Eval Loss: 0.2953575849533081, Accuracy: 0.9240506329113924, Precision: 0.9249991822850226, Recall: 0.9240506329113924, F1: 0.9239284492449049
2025-02-04 15:11:08,416 - Epoch: 23.0, Eval Loss: 0.30557698011398315, Accuracy: 0.9367088607594937, Precision: 0.9369287913591712, Recall: 0.9367088607594937, F1: 0.9366681917543592
2025-02-04 15:11:10,206 - Epoch: 24.0, Eval Loss: 0.3376518189907074, Accuracy: 0.9113924050632911, Precision: 0.91353772809469, Recall: 0.9113924050632911, F1: 0.9111353644978017
